Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de recours;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Autres (expertise médicale - article 22 recours amiable…);11.0;Nombre;§6.3.1
2023;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Autres (expertise médicale - article 22 recours amiable…);22.0;Nombre;§6.3.2
2023;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Discipline;17.0;Nombre;§6.3.1
2023;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Classement - Avancement;24.0;Nombre;§6.3.1
2023;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Classement;3.0;Nombre;§6.3.2
2023;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Requête sanction disciplinaire;4.0;Nombre;§6.3.2
2022;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Autres (expertise médicale - article 22 recours amiable…);16.0;Nombre;§6.3.1
2022;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Autres (expertise médicale - article 22 recours amiable…);21.0;Nombre;§6.3.2
2022;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Requête sanction disciplinaire;6.0;Nombre;§6.3.2
2022;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Classement - Avancement;4.0;Nombre;§6.3.1
2022;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Discipline;15.0;Nombre;§6.3.1
2022;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Classement;11.0;Nombre;§6.3.2
2021;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Classement;4.0;Nombre;§6.3.2
2021;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Requête sanction disciplinaire;7.0;Nombre;§6.3.2
2021;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Classement - Avancement;8.0;Nombre;§6.3.1
2021;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Discipline;15.0;Nombre;§6.3.1
2021;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Autres (expertise médicale - article 22 recours amiable…);27.0;Nombre;§6.3.2
2021;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Autres (expertise médicale - article 22 recours amiable…);16.0;Nombre;§6.3.1
2020;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Classement - Avancement;26.0;Nombre;§6.3.1
2020;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Discipline;11.0;Nombre;§6.3.1
2020;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Autres (expertise médicale - article 22 recours amiable…);12.0;Nombre;§6.3.1
2020;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Requête sanction disciplinaire;8.0;Nombre;§6.3.2
2020;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Autres (expertise médicale - article 22 recours amiable…);33.0;Nombre;§6.3.2
2020;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Classement;7.0;Nombre;§6.3.2
2019;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Autres (expertise médicale - article 22 recours amiable…);46.0;Nombre;§6.3.2
2019;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Classement - Avancement;13.0;Nombre;§6.3.1
2019;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Requête sanction disciplinaire;8.0;Nombre;§6.3.2
2019;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Autres (expertise médicale - article 22 recours amiable…);22.0;Nombre;§6.3.1
2019;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Discipline;20.0;Nombre;§6.3.1
2019;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Classement;42.0;Nombre;§6.3.2
2018;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Autres (expertise médicale - article 22 recours amiable…);56.0;Nombre;§6.3.2
2018;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Classement - Avancement;15.0;Nombre;§6.3.1
2018;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Autres (expertise médicale - article 22 recours amiable…);25.0;Nombre;§6.3.1
2018;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Requête sanction disciplinaire;13.0;Nombre;§6.3.2
2018;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Discipline;10.0;Nombre;§6.3.1
2018;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Classement;8.0;Nombre;§6.3.2
2017;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Classement - Avancement;9.0;Nombre;§6.3.1
2017;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Autres (expertise médicale - article 22 recours amiable…);24.0;Nombre;§6.3.1
2017;EDF SA;France;Nombre de recours à des modes de solution non juridictionnels engagés dans l’année;Discipline;15.0;Nombre;§6.3.1
2017;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Requête sanction disciplinaire;3.0;Nombre;§6.3.2
2017;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Classement;3.0;Nombre;§6.3.2
2017;EDF SA;France;"Nombre d’instances judiciaires engagées dans l’année où l’Entreprise
est en cause (EDF et Mixtes)";Autres (expertise médicale - article 22 recours amiable…);33.0;Nombre;§6.3.2
